tracking_id,route_type,event_time,pickup_time,delivery_time,on_time,location_id,courier_id,status,delay_reason
100001,1st_mile,2025-07-08,2025-07-08 06:47:00,2025-07-09 18:47:00,1,LA_Hub,Courier_A,picked_up,
100002,1st_mile,2025-07-28,2025-07-28 06:01:00,2025-07-28 18:01:00,1,LA_Hub,Courier_C,picked_up,
100003,1st_mile,2025-08-04,2025-08-04 09:14:00,2025-08-06 19:14:00,0,NYC_Hub,Courier_A,failed,Customer not available
100004,1st_mile,2025-07-18,2025-07-18 07:13:00,2025-07-20 03:13:00,1,NYC_Hub,Courier_B,picked_up,
100005,1st_mile,2025-07-23,2025-07-23 10:16:00,2025-07-23 16:16:00,0,SEA_Hub,Courier_A,failed,
100006,1st_mile,2025-08-05,2025-08-05 08:53:00,2025-08-07 07:53:00,1,NYC_Hub,Courier_A,in_transit,
100007,1st_mile,2025-07-06,2025-07-06 12:14:00,2025-07-07 01:14:00,0,CHI_Hub,Courier_B,delivered,Weather
100008,1st_mile,2025-07-24,2025-07-24 08:13:00,2025-07-25 19:13:00,1,SEA_Hub,Courier_C,in_transit,
100009,1st_mile,2025-07-11,2025-07-11 09:24:00,2025-07-12 20:24:00,1,CHI_Hub,Courier_A,in_transit,
100010,1st_mile,2025-07-21,2025-07-21 09:17:00,2025-07-21 18:17:00,1,SEA_Hub,Courier_C,delivered,
100011,1st_mile,2025-08-01,2025-08-01 09:56:00,2025-08-03 20:56:00,1,CHI_Hub,Courier_A,in_transit,
100012,1st_mile,2025-07-28,2025-07-28 10:25:00,2025-07-30 09:25:00,1,LA_Hub,Courier_C,failed,
100013,1st_mile,2025-07-04,2025-07-04 12:07:00,2025-07-05 08:07:00,1,DAL_Hub,Courier_C,picked_up,
100014,1st_mile,2025-07-25,2025-07-25 10:29:00,2025-07-28 06:29:00,0,SEA_Hub,Courier_A,picked_up,Address issue
100015,1st_mile,2025-07-18,2025-07-18 12:41:00,2025-07-20 08:41:00,1,CHI_Hub,Courier_B,in_transit,
100016,1st_mile,2025-07-01,2025-07-01 11:56:00,2025-07-02 21:56:00,1,SEA_Hub,Courier_A,delivered,
100017,1st_mile,2025-07-10,2025-07-10 08:48:00,2025-07-11 05:48:00,1,SEA_Hub,Courier_B,failed,
100018,1st_mile,2025-07-08,2025-07-08 08:56:00,2025-07-10 00:56:00,1,NYC_Hub,Courier_A,picked_up,
100019,1st_mile,2025-08-01,2025-08-01 12:04:00,2025-08-04 09:04:00,1,LA_Hub,Courier_C,failed,
100020,1st_mile,2025-07-17,2025-07-17 10:55:00,2025-07-19 17:55:00,1,SEA_Hub,Courier_C,in_transit,
100021,1st_mile,2025-07-26,2025-07-26 11:41:00,2025-07-28 11:41:00,0,SEA_Hub,Courier_B,picked_up,Weather
100022,1st_mile,2025-07-15,2025-07-15 06:21:00,2025-07-15 09:21:00,1,SEA_Hub,Courier_A,picked_up,
100023,1st_mile,2025-07-04,2025-07-04 07:04:00,2025-07-04 12:04:00,0,NYC_Hub,Courier_C,in_transit,Customer not available
100024,1st_mile,2025-08-01,2025-08-01 07:34:00,2025-08-02 00:34:00,0,LA_Hub,Courier_B,failed,Weather
100025,1st_mile,2025-07-07,2025-07-07 06:42:00,2025-07-09 14:42:00,0,DAL_Hub,Courier_B,failed,
100026,1st_mile,2025-07-07,2025-07-07 06:25:00,2025-07-09 02:25:00,1,LA_Hub,Courier_A,in_transit,
100027,1st_mile,2025-07-09,2025-07-09 09:11:00,2025-07-10 21:11:00,0,LA_Hub,Courier_A,failed,Address issue
100028,1st_mile,2025-07-07,2025-07-07 06:41:00,2025-07-10 04:41:00,1,NYC_Hub,Courier_A,in_transit,
100029,1st_mile,2025-08-01,2025-08-01 09:13:00,2025-08-03 13:13:00,1,LA_Hub,Courier_B,picked_up,
100030,1st_mile,2025-07-17,2025-07-17 12:50:00,2025-07-19 23:50:00,0,DAL_Hub,Courier_C,failed,Weather
100031,1st_mile,2025-07-13,2025-07-13 08:13:00,2025-07-13 16:13:00,1,CHI_Hub,Courier_A,picked_up,
100032,1st_mile,2025-08-02,2025-08-02 12:33:00,2025-08-03 09:33:00,1,SEA_Hub,Courier_A,in_transit,
100033,1st_mile,2025-07-05,2025-07-05 11:55:00,2025-07-06 18:55:00,0,NYC_Hub,Courier_C,in_transit,Address issue
100034,1st_mile,2025-07-03,2025-07-03 10:05:00,2025-07-05 16:05:00,0,CHI_Hub,Courier_A,delivered,Weather
100035,1st_mile,2025-07-17,2025-07-17 09:08:00,2025-07-19 00:08:00,0,CHI_Hub,Courier_A,picked_up,Traffic
100036,1st_mile,2025-08-06,2025-08-06 06:04:00,2025-08-09 03:04:00,1,SEA_Hub,Courier_B,in_transit,
100037,1st_mile,2025-07-05,2025-07-05 07:23:00,2025-07-06 20:23:00,1,DAL_Hub,Courier_C,delivered,
100038,1st_mile,2025-08-05,2025-08-05 08:59:00,2025-08-05 22:59:00,1,CHI_Hub,Courier_A,picked_up,
100039,1st_mile,2025-07-18,2025-07-18 08:38:00,2025-07-19 11:38:00,0,LA_Hub,Courier_C,delivered,Address issue
100040,1st_mile,2025-08-01,2025-08-01 08:57:00,2025-08-01 15:57:00,1,DAL_Hub,Courier_B,picked_up,
100041,1st_mile,2025-07-22,2025-07-22 12:08:00,2025-07-23 22:08:00,1,DAL_Hub,Courier_C,failed,
100042,1st_mile,2025-07-08,2025-07-08 06:56:00,2025-07-09 02:56:00,1,CHI_Hub,Courier_C,in_transit,
100043,1st_mile,2025-07-09,2025-07-09 06:19:00,2025-07-11 05:19:00,1,CHI_Hub,Courier_A,in_transit,
100044,1st_mile,2025-07-23,2025-07-23 12:35:00,2025-07-25 17:35:00,1,LA_Hub,Courier_A,in_transit,
100045,1st_mile,2025-07-02,2025-07-02 07:47:00,2025-07-04 02:47:00,0,LA_Hub,Courier_B,in_transit,
100046,1st_mile,2025-07-25,2025-07-25 12:02:00,2025-07-28 01:02:00,1,LA_Hub,Courier_B,delivered,
100047,1st_mile,2025-07-15,2025-07-15 07:01:00,2025-07-16 08:01:00,0,CHI_Hub,Courier_B,picked_up,Customer not available
100048,1st_mile,2025-07-23,2025-07-23 11:32:00,2025-07-25 15:32:00,0,NYC_Hub,Courier_A,delivered,Weather
100049,1st_mile,2025-07-17,2025-07-17 06:06:00,2025-07-19 14:06:00,0,CHI_Hub,Courier_B,picked_up,Traffic
100050,1st_mile,2025-08-06,2025-08-06 07:16:00,2025-08-06 13:16:00,0,NYC_Hub,Courier_C,in_transit,Customer not available
100051,1st_mile,2025-07-28,2025-07-28 06:42:00,2025-07-30 01:42:00,0,NYC_Hub,Courier_C,delivered,Address issue
100052,1st_mile,2025-07-20,2025-07-20 11:26:00,2025-07-22 05:26:00,0,CHI_Hub,Courier_C,in_transit,Weather
100053,1st_mile,2025-07-27,2025-07-27 11:24:00,2025-07-28 10:24:00,0,DAL_Hub,Courier_C,picked_up,Customer not available
100054,1st_mile,2025-07-19,2025-07-19 07:27:00,2025-07-21 01:27:00,0,DAL_Hub,Courier_B,in_transit,Address issue
100055,1st_mile,2025-07-31,2025-07-31 12:57:00,2025-08-01 10:57:00,1,CHI_Hub,Courier_C,delivered,
100056,1st_mile,2025-07-16,2025-07-16 11:19:00,2025-07-17 16:19:00,1,LA_Hub,Courier_A,picked_up,
100057,1st_mile,2025-07-31,2025-07-31 10:54:00,2025-07-31 20:54:00,0,DAL_Hub,Courier_C,in_transit,Traffic
100058,1st_mile,2025-08-01,2025-08-01 09:15:00,2025-08-02 04:15:00,1,NYC_Hub,Courier_B,in_transit,
100059,1st_mile,2025-08-03,2025-08-03 09:03:00,2025-08-06 09:03:00,1,NYC_Hub,Courier_B,in_transit,
100060,1st_mile,2025-08-03,2025-08-03 10:38:00,2025-08-05 03:38:00,0,SEA_Hub,Courier_C,failed,Address issue
100061,1st_mile,2025-07-29,2025-07-29 07:47:00,2025-07-31 20:47:00,0,CHI_Hub,Courier_A,delivered,Address issue
100062,1st_mile,2025-08-01,2025-08-01 11:15:00,2025-08-02 23:15:00,0,NYC_Hub,Courier_C,delivered,Weather
100063,1st_mile,2025-07-18,2025-07-18 08:20:00,2025-07-21 06:20:00,1,LA_Hub,Courier_A,in_transit,
100064,1st_mile,2025-07-10,2025-07-10 11:13:00,2025-07-10 20:13:00,0,DAL_Hub,Courier_B,failed,Traffic
100065,1st_mile,2025-07-04,2025-07-04 07:53:00,2025-07-06 13:53:00,0,SEA_Hub,Courier_C,picked_up,Address issue
100066,1st_mile,2025-07-25,2025-07-25 09:00:00,2025-07-27 07:00:00,0,DAL_Hub,Courier_B,in_transit,Traffic
100067,1st_mile,2025-07-15,2025-07-15 08:27:00,2025-07-17 23:27:00,1,DAL_Hub,Courier_B,failed,
100068,1st_mile,2025-07-30,2025-07-30 07:39:00,2025-08-02 04:39:00,1,DAL_Hub,Courier_C,picked_up,
100069,1st_mile,2025-07-28,2025-07-28 07:55:00,2025-07-30 19:55:00,1,NYC_Hub,Courier_B,failed,
100070,1st_mile,2025-07-14,2025-07-14 09:20:00,2025-07-16 05:20:00,0,CHI_Hub,Courier_B,delivered,
100071,1st_mile,2025-07-31,2025-07-31 06:47:00,2025-08-03 04:47:00,1,CHI_Hub,Courier_A,picked_up,
100072,1st_mile,2025-07-02,2025-07-02 07:12:00,2025-07-02 10:12:00,1,LA_Hub,Courier_A,failed,
100073,1st_mile,2025-08-06,2025-08-06 07:29:00,2025-08-07 16:29:00,0,LA_Hub,Courier_C,picked_up,Weather
100074,1st_mile,2025-07-20,2025-07-20 06:37:00,2025-07-20 10:37:00,0,SEA_Hub,Courier_C,failed,Traffic
100075,1st_mile,2025-07-13,2025-07-13 06:37:00,2025-07-14 14:37:00,1,CHI_Hub,Courier_C,picked_up,
100076,1st_mile,2025-07-23,2025-07-23 10:27:00,2025-07-25 10:27:00,1,SEA_Hub,Courier_C,delivered,
100077,1st_mile,2025-07-27,2025-07-27 12:31:00,2025-07-28 02:31:00,0,CHI_Hub,Courier_C,failed,Weather
100078,1st_mile,2025-07-28,2025-07-28 07:46:00,2025-07-31 02:46:00,0,SEA_Hub,Courier_C,failed,Traffic
100079,1st_mile,2025-07-28,2025-07-28 12:46:00,2025-07-29 23:46:00,0,LA_Hub,Courier_A,delivered,Traffic
100080,1st_mile,2025-07-16,2025-07-16 12:29:00,2025-07-18 13:29:00,0,NYC_Hub,Courier_B,delivered,Weather
100081,1st_mile,2025-08-01,2025-08-01 07:22:00,2025-08-02 17:22:00,0,CHI_Hub,Courier_C,delivered,Address issue
100082,1st_mile,2025-07-01,2025-07-01 10:12:00,2025-07-01 21:12:00,1,DAL_Hub,Courier_B,in_transit,
100083,1st_mile,2025-08-01,2025-08-01 09:50:00,2025-08-01 12:50:00,1,CHI_Hub,Courier_A,failed,
100084,1st_mile,2025-07-20,2025-07-20 11:37:00,2025-07-22 11:37:00,0,SEA_Hub,Courier_C,delivered,Traffic
100085,1st_mile,2025-08-05,2025-08-05 08:22:00,2025-08-07 19:22:00,0,CHI_Hub,Courier_B,in_transit,
100086,1st_mile,2025-07-13,2025-07-13 08:07:00,2025-07-16 05:07:00,1,LA_Hub,Courier_A,failed,
100087,1st_mile,2025-08-03,2025-08-03 10:18:00,2025-08-03 23:18:00,1,CHI_Hub,Courier_A,delivered,
100088,1st_mile,2025-07-20,2025-07-20 06:45:00,2025-07-23 03:45:00,1,CHI_Hub,Courier_A,picked_up,
100089,1st_mile,2025-07-09,2025-07-09 11:55:00,2025-07-12 02:55:00,1,NYC_Hub,Courier_C,delivered,
