tracking_id,route_type,event_time,pickup_time,delivery_time,on_time,location_id,courier_id,status,delay_reason
l00001,last_mile,2025-07-28,2025-07-28 06:58:00,2025-07-29 14:58:00,1,LA_Hub,Courier_B,delivered,
l00002,last_mile,2025-07-07,2025-07-07 06:30:00,2025-07-09 14:30:00,1,SEA_Hub,Courier_C,delivered,
l00003,last_mile,2025-07-16,2025-07-16 06:30:00,2025-07-17 13:30:00,0,NYC_Hub,Courier_B,in_transit,
l00004,last_mile,2025-07-29,2025-07-29 12:06:00,2025-07-31 22:06:00,1,NYC_Hub,Courier_A,picked_up,
l00005,last_mile,2025-07-21,2025-07-21 12:44:00,2025-07-21 21:44:00,1,NYC_Hub,Courier_B,picked_up,
l00006,last_mile,2025-07-28,2025-07-28 06:06:00,2025-07-28 14:06:00,1,CHI_Hub,Courier_B,failed,
l00007,last_mile,2025-07-27,2025-07-27 07:55:00,2025-07-27 09:55:00,0,DAL_Hub,Courier_B,failed,Address issue
l00008,last_mile,2025-07-07,2025-07-07 08:41:00,2025-07-07 12:41:00,0,SEA_Hub,Courier_B,in_transit,
l00009,last_mile,2025-07-07,2025-07-07 06:38:00,2025-07-07 15:38:00,1,SEA_Hub,Courier_A,delivered,
l00010,last_mile,2025-07-27,2025-07-27 09:46:00,2025-07-29 18:46:00,1,LA_Hub,Courier_A,picked_up,
l00011,last_mile,2025-07-09,2025-07-09 08:37:00,2025-07-11 16:37:00,0,CHI_Hub,Courier_C,in_transit,Weather
l00012,last_mile,2025-07-31,2025-07-31 08:38:00,2025-08-02 04:38:00,0,CHI_Hub,Courier_A,in_transit,
l00013,last_mile,2025-07-16,2025-07-16 10:52:00,2025-07-19 10:52:00,1,DAL_Hub,Courier_B,in_transit,
l00014,last_mile,2025-07-13,2025-07-13 12:04:00,2025-07-15 08:04:00,1,DAL_Hub,Courier_C,failed,
l00015,last_mile,2025-08-06,2025-08-06 08:39:00,2025-08-07 23:39:00,0,CHI_Hub,Courier_A,picked_up,Traffic
